[0.000000] (-) TimerEvent: {}
[0.000326] (-) JobUnselected: {'identifier': 'cmake_helpers'}
[0.000502] (-) JobUnselected: {'identifier': 'game_engine'}
[0.000576] (-) JobUnselected: {'identifier': 'manager_utils'}
[0.000796] (-) JobUnselected: {'identifier': 'resource_builder'}
[0.000930] (-) JobUnselected: {'identifier': 'resource_utils'}
[0.000995] (-) JobUnselected: {'identifier': 'robo_builder_py'}
[0.001057] (-) JobUnselected: {'identifier': 'robo_cleaner_ai_py'}
[0.001132] (-) JobUnselected: {'identifier': 'robo_cleaner_common'}
[0.001223] (-) JobUnselected: {'identifier': 'robo_cleaner_gui'}
[0.001286] (-) JobUnselected: {'identifier': 'robo_cleaner_interfaces'}
[0.001348] (-) JobUnselected: {'identifier': 'robo_collector_common'}
[0.001561] (-) JobUnselected: {'identifier': 'robo_collector_controller'}
[0.002210] (-) JobUnselected: {'identifier': 'robo_collector_controller_py'}
[0.002262] (-) JobUnselected: {'identifier': 'robo_collector_gui'}
[0.002311] (-) JobUnselected: {'identifier': 'robo_collector_interfaces'}
[0.002385] (-) JobUnselected: {'identifier': 'robo_common'}
[0.002443] (-) JobUnselected: {'identifier': 'robo_miner_ai_py'}
[0.002492] (-) JobUnselected: {'identifier': 'robo_miner_common'}
[0.002540] (-) JobUnselected: {'identifier': 'robo_miner_gui'}
[0.002590] (-) JobUnselected: {'identifier': 'robo_miner_interfaces'}
[0.002639] (-) JobUnselected: {'identifier': 'ros2_game_engine'}
[0.002687] (-) JobUnselected: {'identifier': 'sdl_utils'}
[0.002743] (-) JobUnselected: {'identifier': 'ur_bringup'}
[0.002792] (-) JobUnselected: {'identifier': 'ur_client_library'}
[0.002840] (-) JobUnselected: {'identifier': 'ur_control_gui'}
[0.002889] (-) JobUnselected: {'identifier': 'ur_controllers'}
[0.002937] (-) JobUnselected: {'identifier': 'ur_dashboard_msgs'}
[0.003026] (-) JobUnselected: {'identifier': 'ur_description'}
[0.003078] (-) JobUnselected: {'identifier': 'ur_moveit_config'}
[0.003127] (-) JobUnselected: {'identifier': 'ur_robot_driver'}
[0.003175] (-) JobUnselected: {'identifier': 'urscript_bridge'}
[0.003224] (-) JobUnselected: {'identifier': 'urscript_common'}
[0.003272] (-) JobUnselected: {'identifier': 'urscript_interfaces'}
[0.003351] (-) JobUnselected: {'identifier': 'utils'}
[0.003406] (-) EventReactorShutdown: {}
